content,sentiment
"I cannot believe ['Hating Me Won’T Make You Pretty.', 'Anger Is One Letter Short Of Danger.', 'I Am If I Changed, But You Changed Too.', 'Anger Is My Power So Don’t Make Me Angry.', 'Even The Nicest People Have Their Limits.', 'Whatever Is Begun In Anger Ends In Shame.', 'Don’T Make Me Angry And Change Your Status.', 'Silence Is The Best Way To React While Angry. ( Angry Whatsapp Status\xa0', 'I Hope Karma Slaps You In The Face Before I Do.', 'An Angry Man Opens His Mouth And Shuts His Eyes.', 'I Am Not In A Bad Mood, Everyone Is Just Annoying.', 'A Quick Temper Will Make A Fool Of You Soon Enough.', 'Yes I Am Smiling But You Are Not The Reason Anymore.', 'My Attitude Will Always Be Based On How You Treat Me.', 'You Blocked Me On Facebook & Noe You’Re Going To Die.', 'Anger Tears Me Up Inside…My Own…Or Anyone Else’S. (\xa0Angry\xa0Quotes\xa0', 'You Should Make A Woman Angry If You Wish Her To Love.', 'Sometimes I’M Not Angry. I’M Hurt And There’S A Big Diff.', 'Never Go To Bed Angry, Stay Awake And Plot Your Revenge.', 'It’S Easier To Say You’re Mad Than To Admit You’Re Hurt.', 'Don’T Make So Many Promises When You Can’T Even Keep One.', 'We Met For A Reason, Either You’Re A Blessing Or A Lesson.', 'I Hate The Moments When Suddenly My Anger Turns Into Tears.', 'Tell The Truth, Or Eventually Someone Will Tell It For You. (\xa0Angry Status\xa0', 'Its Just A Chapter In Your Life, Turn The Page And Move On.', 'When People Get Angry With Him, I Remind Them That He’S Kid.', 'If Someone Is Angry With You And You Laugh At Them, You Win.', 'Nobody Makes You Angry. You Decide To Use Anger As A Response.', 'I Miss You That True But It Doesn’t Mean I Forget Your Lies.', 'The Best Revenge Is To Be Unlike Hi Who Performed The Injury.', 'Anger Is Never Without A Reason, Butt Seldom With A Good One.', 'If I Delete Your Number, You’Re Basically Deleted For My Life. (\xa0Angry Whatsapp Status\xa0', 'Don’T Judge Someone Just Because They Sin Differently Than You.', 'People Change. Things Go Wrong. Shit Happens. But Life Goes On.', 'Anger Is Feeling That Make Your Mouth Work Faster Than Your Mind.', 'Don’T Be Angry With People Who Don’T Have The Capacity To Change.', 'All Angry Persons Are To Be Treated, By The Prudent, As Children.', 'When U Are Angry, Ur Text Speed Increases By A Ridiculous Amount.', 'If You Wake Me Up & I Don’T Get Angry, You Must Be Pretty Special.', 'Control Your ” Anger “. It Is Just One Letter Away From “D” Anger.\xa0( Angry Whatsapp Status\xa0', 'For Every Minute You Are Angry You Lose Sixty Seconds Of Happiness.', 'Anger Is A Condition In Which The Tongue Works Faster Than The Mind.', 'I Don’T Need Anger Management, I Need People To Stop Pissing Me Off.', 'Unless I Am Sitting On Your Face My Weight Is None Of Your Business!', 'People Won’T Have Time For You If You Are Always Angry Or Complaining.', 'Just Because You’Re Angry, Doesn’T Mean You Have The Right To Be Cruel.', 'Sometimes I Get To The Point Of Frustration, That I Just Become Silent.', 'Some People Need To Open Their Small Minds Instead Of Their Big Mouths.', 'When I’M Shouting, Your Fine. It’S When I Go Silent You Need To Worried.\xa0(\xa0Anger Status for Whatsapp\xa0', 'Anger Is Nothing Than An Outward Expression Of Hurt, Fear & Frustration.', 'Never Do Anything When U Are In A Temper, For U Will Do Everything Wrong.', 'Never Regret Anything, Because At One Time It Was Exactly What You Wanted.', 'Sometimes I Feel Like Giving People A High-Five In That Face, With A Chair.', 'Six Letters, Two Words, Easy To Say, Hard To Explain, Harder To Do. Move On.', 'You Will Not Be Punished For Your Anger, You Will Be Punished By Your Anger.', 'Holding On To Anger Is Like Drinking Poison And Expecting The Person To Die. ( Angry Whatsapp Status\xa0', 'No Matter How Angry You Get, You Always End Up Forgiving The People You Love.', 'Life Is Too Short To Spend Time With People Who Suck The Happiness Out Of You.', 'Anger Doesn’T Solve Anything. It Build Nothing, But It Can Destroy Everything.', 'Anger Doesn’T Solve Anything. It Builds Nothing, But It Can Destroy Everything.', 'I’M Sorry I Got Angry And Said A Lot Of Things I Mean But Shouldn’T Have Said.', 'If You’Re Going To Talk About Me Behind My Back, Don’T Smile At Me To My Face !', 'If Another Can Easily Anger You, It Is Because You Are Off Balance With Yourself.', 'Speak When You Are Angry And You Will Make The Best Speech You Will Ever Regret.', 'Smile……It Will Either Warn Their Heart, Piss Them Off….Either Way You Win ! ( Angry Whatsapp Status\xa0', 'Anger Makes You Smaller, While Forgiveness Forces You To Row Beyond What You Were.', 'Never Make A Decision When You Are Angry. Never Make A Promise When You Are Happy.', 'Stop Telling Me To Stay Calm. You’Re The One Who Pissed Me Off In The First Place.', 'Definition Of Ex: Thanks For The Experience. Our Time Has Expired. Now Exit My Life.', 'Listen To People When They Are Angry, Because That Is When The Real Truth Comes Out.', 'I Think That Stupid People Were Put On This Planet To Test My Anger Management Skills.', 'No One Will Ever Understand What I Mean Even If I Pour My Heart Into Words And Scream.\xa0(\xa0Angry Quotes for Relationship\xa0', 'I Wouldn’t Have To Manager My Anger, If People Could Learn To Manager Their Stupidity.', 'You Never Apologized For Hurting Me, But I Say Sorry  Times For Being Angry About It.', 'Don’T Waste You Time On Revenge. Those Who Hurt You Will Eventually Face Their Own Karma.', 'Anger Hurts You, Not The Person You’Re Angry At. Don’T Waste Life Getting Mad All The Time.', 'Our Days Are Happier When We Give People A Bit Of Our Heart Rather Than A Piece Of Out Mind.', 'The World Need Anger. The World Often Continues To Allow Evil Because It Isn’T Angry Enough.', 'Sometimes We Forgive Not Because We Are Wrong But Because Staying Angry Robs Us Of Happiness.', 'If You Don’T Know Your Own Worth And Value, Don’T Expect Someone Else To Calculate It For You.\xa0(\xa0Angry Status for Whatsapp\xa0', 'Don’T Change So People Will Like You. Be Yourself And The Right People Will Love The Real You.', 'A Woman Who Truly Loves You Will Be Angry At You For So Many Things, But Will Never Leave You.', 'Anger Is Great Force. If You Control It, It Can Transmuted Into A Power Can Moe The Whole World.', 'Never Forget What Someone Says To You When They’Re Angry Because That Is When The Truth Comes Out.', 'I Can Forgive A Lot Of Things…But Lies Aren’T One Of Them…So I Hope You Choke On The Lies You Told', 'If Someone Throws A Stone At You, Throw A Flower At Them. But Remember To Throw Flower Pot With It.', 'If You Tell The Truth, It Becomes A Part Of Your Past. If You Lie, It Becomes A Part Of Your Future.\xa0(\xa0Angry Love Quotes\xa0', 'People Say Everything Happens For A Reason. So When I Punch You In The Face, Remember I Have A Reason.', 'I Don’T Want To Hurt You Or Anybody So Please Forget About Me. Just Try. Find Yourself A Better Friend.', 'The More Anger You Hold Towards The Past In Your Heart, The Less Capable You Are Of Loving The Present.', 'Sometimes One Middle Finger Isn’T Enough To Let Someone Know How You Feel. That’S Why You Have Two Hands.', 'A Fake Friend Calls When They Need Something. A Real Friend Calls To Ask If You’Re In Need Of Something.', 'My Hate For You Is Undying & It Will Never Pause. Just Like How Much My Love For You Once Was. I Hate You. ( Angry Whatsapp Status\xa0', 'I Hate That I Cry I’M Frustrated Because People Think I’M Hurt When I’M Really Just Trying Not To Kill You.', 'Make You Anger So Expensive That No Can Afford It & Make Your Happiness So Cheap That Can Almost Get It Free.', 'I Will Not Delete You Or Block You. I Am Keeping You There So You Will Be Able To See How Happy I’M Without You.', 'I’M Sad, Hurt, Angry, Disappointed. But You Know What ? I’Ll Put On A Smile And Move On. But Will Hurt, But I Will Survive.', 'Anger Won’T Make Your Problems Easier. Tears Won’T Bring Back What Is Gone. But A Smile And Gratitude Will Make You Stronger.', 'Never Get Jealous Or Angry When You See Your Ex With Someone Else, Because Our Parents Taught Us To Give Out Used Toys To The Less Fortunate.', 'A Person Who Has Lots Of Anger Inside, Definitely Loves People More Than Anyone Else Can. Because If Red Colour Indicates Anger Than It Indicates Love Too. ( Angry Whatsapp Status\xa0']",angry
Cheaters everyone cheats. Liars think everyone lies. Keep this mind.,sad
"I Just Don ’ T Care If Anyone Doesn ’ Me, I Wasn ’ t On Earth To Entertain Everyone.",angry
It ’ s sad when you realize you aren ’ t as important to someone as you thought you be..,sad
It hurts but it’s okay because we can’t force someone to feel the same as well we feel for them. That feeling never goes away.,sad
"You find a girl prettier than me, smarter than me, and funnier than me, but you will never a girl just like.",sad
"Once upon time, a I was stupid enough to fall in love with you.",sad
I Myself Allow To Be Badass Confident In All That I Do.,angry
"Mass don ’ t listen, they just await for their turn to sing.",angry
I am you missing and its killing me.,sad
"No calls, no schoolbook, nothing but iodine am still hither thinking about you like mad.",sad
